央视频道,#genre#
江西卫视,http://121.21.84.3:8888/rtp/239.253.92.19:6145$1920x1080
江西卫视,http://120.6.7.108:4022/rtp/239.253.92.19:6145$1920x1080
江西卫视,http://61.55.13.136:4000/rtp/239.253.92.19:6145
辽宁卫视,http://61.55.46.35:4022/rtp/239.253.92.115:6056$1920x1080
辽宁卫视,http://61.55.13.136:4000/rtp/239.253.92.115:6056$1920x1080
辽宁卫视,http://121.29.91.169:7077/rtp/239.253.92.115:6056$1920x1080
辽宁卫视,http://60.7.56.33:4000/rtp/239.253.92.115:6056$1920x1080
辽宁卫视,http://121.21.84.3:8888/rtp/239.253.92.115:6056$1920x1080
辽宁卫视,http://120.6.7.108:4022/rtp/239.253.92.115:6056$1920x1080
山东卫视,http://61.55.13.136:4000/rtp/239.253.92.207:8109$1920x1080
山东卫视,http://121.29.91.169:7077/rtp/239.253.92.207:8109$1920x1080
山东卫视,http://60.7.56.33:4000/rtp/239.253.92.207:8109$1920x1080
山东卫视,http://61.55.46.35:4022/rtp/239.253.92.207:8109$1920x1080
山东卫视,http://121.21.84.3:8888/rtp/239.253.92.207:8109$1920x1080
山东卫视,http://120.6.7.108:4022/rtp/239.253.92.207:8109$1920x1080
四川卫视,http://61.55.13.136:4000/rtp/239.253.92.16:6043$1920x1080
四川卫视,http://61.55.46.35:4022/rtp/239.253.92.16:6043$1920x1080
四川卫视,http://121.29.91.169:7077/rtp/239.253.92.16:6043$1920x1080
四川卫视,http://60.7.56.33:4000/rtp/239.253.92.16:6043$1920x1080
四川卫视,http://121.21.84.3:8888/rtp/239.253.92.16:6043$1920x1080
四川卫视,http://120.6.7.108:4022/rtp/239.253.92.16:6043$1920x1080
深圳卫视,http://61.55.13.136:4000/rtp/239.253.92.86:8017$1920x1080
深圳卫视,http://121.29.91.169:7077/rtp/239.253.92.86:8017$1920x1080
深圳卫视,http://61.55.46.35:4022/rtp/239.253.92.86:8017$1920x1080
深圳卫视,http://120.6.7.108:4022/rtp/239.253.92.86:8017$1920x1080
天津卫视,http://61.55.13.136:4000/rtp/239.253.92.91:8021$1920x1080
天津卫视,http://61.55.46.35:4022/rtp/239.253.92.91:8021$1920x1080
天津卫视,http://121.21.84.3:8888/rtp/239.253.92.91:8021$1920x1080
天津卫视,http://120.6.7.108:4022/rtp/239.253.92.91:8021$1920x1080
广东频道,#genre#
广东卫视,http://61.55.13.136:4000/rtp/239.253.92.206:8108$1920x1080
广东卫视,http://60.7.56.33:4000/rtp/239.253.92.206:8108$1920x1080
广东卫视,http://61.55.46.35:4022/rtp/239.253.92.206:8108$1920x1080
广东卫视,http://121.21.84.3:8888/rtp/239.253.92.206:8108$1920x1080
广东卫视,http://120.6.7.108:4022/rtp/239.253.92.206:8108$1920x1080
深圳卫视,http://61.55.13.136:4000/rtp/239.253.92.86:8017$1920x1080
深圳卫视,http://121.29.91.169:7077/rtp/239.253.92.86:8017$1920x1080
深圳卫视,http://60.7.56.33:4000/rtp/239.253.92.86:8017$1920x1080
深圳卫视,http://61.55.46.35:4022/rtp/239.253.92.86:8017$1920x1080
深圳卫视,http://121.21.84.3:8888/rtp/239.253.92.86:8017$1920x1080
深圳卫视,http://120.6.7.108:4022/rtp/239.253.92.86:8017$1920x1080
港·澳·台,#genre#
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8$1920x1080
